23:22:32.309 [ApplicationImpl pooled thread 121] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:22:49.107 [ApplicationImpl pooled thread 124] INFO  c.b.l.BrowserStackRunExtension - testng
23:22:49.107 [ApplicationImpl pooled thread 124] INFO  com.browserstack.utils.Helpers - null
23:22:49.108 [ApplicationImpl pooled thread 124] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:30:34.999 [ApplicationImpl pooled thread 128] INFO  c.b.l.BrowserStackRunExtension - testng
23:30:34.999 [ApplicationImpl pooled thread 128] INFO  com.browserstack.utils.Helpers - null
23:30:35.000 [ApplicationImpl pooled thread 128] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:31:28.568 [ApplicationImpl pooled thread 132] INFO  c.b.l.BrowserStackRunExtension - testng
23:31:28.568 [ApplicationImpl pooled thread 132] INFO  com.browserstack.utils.Helpers - null
23:31:28.568 [ApplicationImpl pooled thread 132] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:31:47.192 [ApplicationImpl pooled thread 129] INFO  c.b.l.BrowserStackRunExtension - testng
23:31:47.192 [ApplicationImpl pooled thread 129] INFO  com.browserstack.utils.Helpers - null
23:31:47.192 [ApplicationImpl pooled thread 129] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
00:12:31.513 [ApplicationImpl pooled thread 152] INFO  c.b.l.BrowserStackRunExtension - testng
00:12:31.514 [ApplicationImpl pooled thread 152] INFO  com.browserstack.utils.Helpers - null
00:12:31.514 [ApplicationImpl pooled thread 152] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
00:12:52.722 [ApplicationImpl pooled thread 160] INFO  c.b.l.BrowserStackRunExtension - testng
00:12:52.722 [ApplicationImpl pooled thread 160] INFO  com.browserstack.utils.Helpers - null
00:12:52.722 [ApplicationImpl pooled thread 160] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
00:15:43.984 [ApplicationImpl pooled thread 161] INFO  c.b.l.BrowserStackRunExtension - testng
00:15:43.984 [ApplicationImpl pooled thread 161] INFO  com.browserstack.utils.Helpers - null
00:15:43.984 [ApplicationImpl pooled thread 161] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
00:16:19.902 [ApplicationImpl pooled thread 157] INFO  c.b.l.BrowserStackRunExtension - testng
00:16:19.902 [ApplicationImpl pooled thread 157] INFO  com.browserstack.utils.Helpers - null
00:16:19.904 [ApplicationImpl pooled thread 157] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
00:16:44.002 [ApplicationImpl pooled thread 160] INFO  c.b.l.BrowserStackRunExtension - testng
